"lat","long","date","num"
-23.6494373646001,-46.6480214488086,2020-02-25,18317
-23.6494373646001,-46.6480214488086,2020-02-26,18318
-23.6494373646001,-46.6480214488086,2020-02-27,18319
-23.6494373646001,-46.6480214488086,2020-02-28,18320
-23.6494373646001,-46.6480214488086,2020-02-29,18321
-23.6494373646001,-46.6480214488086,2020-03-01,18322
-23.6494373646001,-46.6480214488086,2020-03-02,18323
-23.6494373646001,-46.6480214488086,2020-03-03,18324
-23.6494373646001,-46.6480214488086,2020-03-04,18325
-23.6494373646001,-46.6480214488086,2020-03-05,18326
-23.6494373646001,-46.6480214488086,2020-03-06,18327
-23.566821036196,-46.7578551973315,2020-03-07,18328
-23.6068774378465,-46.7046024707749,2020-03-08,18329
-23.6189052432334,-46.6886121819584,2020-03-09,18330
-23.6296559901935,-46.6743196702859,2020-03-10,18331
-23.6391857034113,-46.6616504540997,2020-03-11,18332
-23.6305547844021,-46.6130010904986,2020-03-12,18333
-23.6372144763877,-46.631615676781,2020-03-13,18334
-23.6340162936437,-46.660066042721,2020-03-14,18335
-23.639664529753,-46.6517852551935,2020-03-15,18336
-23.6572808912756,-46.6230540617619,2020-03-16,18337
-23.6420585048418,-46.6271073962571,2020-03-17,18338
-23.5167563554405,-46.7136228922353,2020-03-18,18339
-23.5681429636275,-46.6607109274148,2020-03-19,18340
-23.5871468286478,-46.6593357830683,2020-03-20,18341
-23.6027272116809,-46.6573457440445,2020-03-21,18342
-23.6124690162258,-46.6559552590809,2020-03-22,18343
-23.6040062968314,-46.6601969856307,2020-03-23,18344
-23.6092507054449,-46.6600494693945,2020-03-24,18345
-23.6021349900195,-46.6440930064758,2020-03-25,18346
-23.5850887011791,-46.6653862389082,2020-03-26,18347
-23.5921667585913,-46.665386711399,2020-03-27,18348
-23.6065237621303,-46.6560787120549,2020-03-28,18349
-23.6142651265384,-46.6516716078162,2020-03-29,18350
-23.5528092328198,-46.720468107201,2020-03-30,18351
-23.5397268482544,-46.734762291662,2020-03-31,18352
-23.5661905068559,-46.7161548544745,2020-04-01,18353
-23.5567536964092,-46.7348827391514,2020-04-02,18354
-23.5406608085326,-46.7368601935484,2020-04-03,18355
-23.5239664360321,-46.7657620588431,2020-04-04,18356
-23.550186943993,-46.7268115267925,2020-04-05,18357
-23.5303597002167,-46.7648432457174,2020-04-06,18358
-23.4903721758237,-46.7616476113965,2020-04-07,18359
-23.4515362761543,-46.7847967709089,2020-04-08,18360
-23.4783003526969,-46.7800776261024,2020-04-09,18361
-23.4842909253548,-46.777685380446,2020-04-10,18362
-23.4863604588724,-46.7705934475343,2020-04-11,18363
-23.493722212393,-46.7543528343683,2020-04-12,18364
-23.5080440308951,-46.7394561028022,2020-04-13,18365
-23.4663764118093,-46.7844051745331,2020-04-14,18366
-23.4137410458987,-46.8461927947406,2020-04-15,18367
-23.4055840671262,-46.8489001294537,2020-04-16,18368
-23.42810778578,-46.8401884674004,2020-04-17,18369
-23.4494337599265,-46.8483555465853,2020-04-18,18370
-23.4621582658268,-46.8345596996655,2020-04-19,18371
-23.4603312775621,-46.8278849749025,2020-04-20,18372
